模型,字段,总样本数,准确率,准确率_lo,准确率_hi,精确率,精确率_lo,精确率_hi,召回率,召回率_lo,召回率_hi,F1,F1_lo,F1_hi
deepseek-v3-250324,PET阳性/阴性,364,0.92,0.89,0.94,0.94,0.92,0.96,0.92,0.89,0.94,0.92,0.9,0.95
deepseek-v3-250324,骨髓代谢是否增高,364,0.79,0.75,0.84,0.82,0.79,0.85,0.79,0.75,0.84,0.77,0.72,0.81
deepseek-v3-250324,长骨高代谢,364,0.78,0.74,0.83,0.75,0.7,0.8,0.78,0.74,0.83,0.76,0.71,0.81
deepseek-v3-250324,骨质破坏,364,0.94,0.91,0.96,0.94,0.91,0.96,0.94,0.91,0.96,0.94,0.91,0.96
deepseek-v3-250324,FLs-部位,364,0.76,0.72,0.8,0.82,0.77,0.86,0.76,0.72,0.8,0.79,0.74,0.82
deepseek-v3-250324,FLs-数量,364,0.63,0.57,0.67,0.55,0.49,0.61,0.63,0.57,0.67,0.56,0.5,0.61
deepseek-v3-250324,FLs-溶骨性病变数量,364,0.49,0.44,0.54,0.58,0.39,0.7,0.49,0.44,0.54,0.41,0.36,0.46
deepseek-v3-250324,FLs-Deauville评分,364,0.59,0.54,0.65,0.57,0.47,0.66,0.59,0.54,0.65,0.54,0.49,0.6
deepseek-v3-250324,EM-部位,364,0.59,0.54,0.63,0.79,0.74,0.84,0.59,0.54,0.63,0.66,0.61,0.7
deepseek-v3-250324,EM-数量,364,0.67,0.62,0.71,0.7,0.64,0.77,0.67,0.62,0.72,0.68,0.63,0.73
deepseek-v3-250324,EM-溶骨性病变数量,364,0.9,0.87,0.93,,,,0.9,0.87,0.93,0.86,0.81,0.9
deepseek-v3-250324,EM-Deauville评分,364,0.8,0.76,0.84,0.79,0.74,0.84,0.8,0.76,0.84,0.8,0.75,0.83
deepseek-v3-250324,PM-数量,364,0.71,0.66,0.74,0.79,0.76,0.84,0.71,0.66,0.74,0.74,0.7,0.78
deepseek-v3-250324,PM-溶骨性病变数量,364,0.79,0.74,0.83,,,,0.79,0.74,0.83,0.7,0.64,0.75
deepseek-v3-250324,PM-Deauville评分,364,0.74,0.69,0.78,0.73,0.68,0.79,0.74,0.69,0.78,0.71,0.66,0.76
deepseek-v3-250324,骨折-有/无,364,0.99,0.98,1.0,0.99,0.97,1.0,0.99,0.97,1.0,0.99,0.98,1.0
deepseek-v3-250324,骨折-部位,364,0.71,0.66,0.75,0.78,0.76,0.81,0.71,0.66,0.75,0.62,0.56,0.68
deepseek-v3-250324,骨折-新发/陈旧,364,0.87,0.83,0.9,0.89,0.86,0.92,0.87,0.83,0.9,0.88,0.84,0.9
deepseek-v3-250324,骨折-是否MM引起,364,0.96,0.94,0.98,0.96,0.94,0.98,0.96,0.94,0.98,0.96,0.94,0.98
deepseek-v3-250324,手术证据-有/无,364,0.92,0.89,0.95,0.93,0.91,0.95,0.92,0.89,0.95,0.92,0.89,0.95
deepseek-v3-250324,手术证据-类型,364,0.85,0.81,0.88,0.9,0.86,0.93,0.85,0.81,0.88,0.87,0.83,0.9
deepseekr1,PET阳性/阴性,364,0.93,0.91,0.95,0.95,0.93,0.97,0.0,0.93,0.95,0.94,0.92,0.96
deepseekr1,骨髓代谢是否增高,364,0.77,0.74,0.81,0.81,0.77,0.85,0.77,0.74,0.81,0.79,0.75,0.83
deepseekr1,长骨高代谢,364,0.72,0.68,0.76,0.76,0.71,0.81,0.72,0.68,0.76,0.74,0.69,0.78
deepseekr1,骨质破坏,364,0.93,0.91,0.96,0.94,0.92,0.96,0.0,0.91,0.96,0.94,0.91,0.96
deepseekr1,FLs-部位,364,0.87,0.83,0.9,0.86,0.82,0.89,0.87,0.83,0.9,0.86,0.82,0.89
deepseekr1,FLs-数量,364,0.66,0.62,0.7,0.62,0.57,0.68,0.66,0.62,0.7,0.63,0.57,0.67
deepseekr1,FLs-溶骨性病变数量,364,0.52,0.48,0.57,0.53,0.49,0.59,0.52,0.48,0.57,0.52,0.48,0.57
deepseekr1,FLs-Deauville评分,364,0.61,0.55,0.66,,,,0.61,0.55,0.66,0.52,0.45,0.58
deepseekr1,EM-部位,364,0.77,0.73,0.81,0.81,0.77,0.85,0.77,0.73,0.81,0.78,0.74,0.82
deepseekr1,EM-数量,364,0.65,0.6,0.69,0.0,0.7,0.8,0.65,0.6,0.69,0.69,0.64,0.73
deepseekr1,EM-溶骨性病变数量,364,0.9,0.87,0.93,0.82,0.76,0.87,0.9,0.87,0.93,0.86,0.81,0.9
deepseekr1,EM-Deauville评分,364,0.85,0.82,0.88,0.0,0.82,0.83,0.85,0.82,0.88,0.81,0.76,0.84
deepseekr1,PM-数量,364,0.68,0.64,0.73,0.83,0.78,0.88,0.68,0.64,0.73,0.75,0.7,0.78
deepseekr1,PM-溶骨性病变数量,364,0.79,0.74,0.83,0.0,0.75,0.81,0.79,0.74,0.83,0.74,0.68,0.79
deepseekr1,PM-Deauville评分,364,0.77,0.73,0.81,,,,0.77,0.73,0.81,0.7,0.64,0.75
deepseekr1,骨折-有/无,364,0.96,0.93,0.98,0.98,0.96,0.99,0.96,0.93,0.98,0.97,0.95,0.98
deepseekr1,骨折-部位,364,0.91,0.87,0.93,0.91,0.88,0.93,0.91,0.87,0.93,0.91,0.87,0.93
deepseekr1,骨折-新发/陈旧,364,0.85,0.81,0.88,0.85,0.81,0.88,0.85,0.81,0.88,0.85,0.81,0.88
deepseekr1,骨折-是否MM引起,364,0.87,0.83,0.9,0.87,0.84,0.91,0.87,0.83,0.9,0.86,0.82,0.9
deepseekr1,手术证据-有/无,364,0.96,0.94,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.97,0.95,0.99
deepseekr1,手术证据-类型,364,0.95,0.93,0.97,0.95,0.92,0.98,0.95,0.93,0.97,0.95,0.92,0.97
claude-haiku-4-5-20251001,PET阳性/阴性,364,0.95,0.92,0.96,0.94,0.92,0.96,0.95,0.92,0.96,0.94,0.92,0.96
claude-haiku-4-5-20251001,骨髓代谢是否增高,364,0.76,0.72,0.81,0.0,0.82,0.82,0.76,0.72,0.81,0.72,0.67,0.77
claude-haiku-4-5-20251001,长骨高代谢,364,0.7,0.65,0.75,0.73,0.69,0.77,0.7,0.65,0.75,0.7,0.65,0.74
claude-haiku-4-5-20251001,骨质破坏,364,0.93,0.9,0.96,0.93,0.91,0.96,0.93,0.9,0.96,0.93,0.9,0.96
claude-haiku-4-5-20251001,FLs-部位,364,0.82,0.78,0.85,0.81,0.77,0.87,0.82,0.78,0.85,0.8,0.76,0.84
claude-haiku-4-5-20251001,FLs-数量,364,0.61,0.57,0.66,,,,0.61,0.57,0.66,0.55,0.5,0.6
claude-haiku-4-5-20251001,FLs-溶骨性病变数量,364,0.55,0.51,0.6,0.56,0.5,0.61,0.55,0.51,0.6,0.54,0.49,0.59
claude-haiku-4-5-20251001,FLs-Deauville评分,364,0.6,0.54,0.65,,,,0.6,0.54,0.65,0.45,0.38,0.51
claude-haiku-4-5-20251001,EM-部位,364,0.63,0.58,0.68,0.84,0.81,0.87,0.63,0.58,0.68,0.68,0.63,0.72
claude-haiku-4-5-20251001,EM-数量,364,0.23,0.18,0.28,0.81,0.75,0.87,0.23,0.18,0.28,0.25,0.2,0.31
claude-haiku-4-5-20251001,EM-溶骨性病变数量,364,0.9,0.87,0.93,,,,0.9,0.87,0.93,0.86,0.81,0.9
claude-haiku-4-5-20251001,EM-Deauville评分,364,0.85,0.82,0.88,,,,0.85,0.82,0.88,0.78,0.73,0.83
claude-haiku-4-5-20251001,PM-数量,364,0.21,0.17,0.24,0.81,0.77,0.84,0.21,0.17,0.24,0.25,0.21,0.3
claude-haiku-4-5-20251001,PM-溶骨性病变数量,364,0.8,0.76,0.84,,,,0.8,0.76,0.84,0.71,0.66,0.77
claude-haiku-4-5-20251001,PM-Deauville评分,364,0.76,0.72,0.81,,,,0.76,0.72,0.81,0.66,0.61,0.72
claude-haiku-4-5-20251001,骨折-有/无,364,0.95,0.93,0.97,0.96,0.94,0.98,0.95,0.93,0.97,0.95,0.93,0.97
claude-haiku-4-5-20251001,骨折-部位,364,0.81,0.77,0.85,0.85,0.82,0.88,0.81,0.77,0.85,0.79,0.74,0.84
claude-haiku-4-5-20251001,骨折-新发/陈旧,364,0.82,0.79,0.86,0.87,0.84,0.9,0.82,0.79,0.86,0.83,0.79,0.86
claude-haiku-4-5-20251001,骨折-是否MM引起,364,0.93,0.9,0.95,0.93,0.92,0.96,0.93,0.9,0.95,0.93,0.91,0.95
claude-haiku-4-5-20251001,手术证据-有/无,364,0.94,0.91,0.96,0.0,0.93,0.97,0.94,0.91,0.96,0.94,0.91,0.96
claude-haiku-4-5-20251001,手术证据-类型,364,0.9,0.88,0.93,0.0,0.9,0.92,0.9,0.88,0.93,0.9,0.87,0.93
claude-haiku-4-5-20251001-thinking,PET阳性/阴性,364,0.95,0.92,0.96,0.95,0.92,0.97,0.0,0.94,0.97,0.95,0.92,0.96
claude-haiku-4-5-20251001-thinking,骨髓代谢是否增高,364,0.76,0.72,0.81,0.81,0.77,0.84,0.76,0.72,0.81,0.74,0.69,0.8
claude-haiku-4-5-20251001-thinking,长骨高代谢,364,0.71,0.66,0.77,0.7,0.66,0.77,0.71,0.66,0.77,0.71,0.66,0.77
claude-haiku-4-5-20251001-thinking,骨质破坏,364,0.93,0.9,0.96,0.94,0.91,0.96,0.0,0.91,0.96,0.93,0.91,0.96
claude-haiku-4-5-20251001-thinking,FLs-部位,364,0.84,0.8,0.87,0.83,0.8,0.88,0.84,0.8,0.87,0.83,0.79,0.87
claude-haiku-4-5-20251001-thinking,FLs-数量,364,0.66,0.61,0.7,0.62,0.57,0.68,0.66,0.61,0.7,0.63,0.58,0.67
claude-haiku-4-5-20251001-thinking,FLs-溶骨性病变数量,364,0.5,0.45,0.54,0.51,0.46,0.57,0.5,0.45,0.54,0.48,0.44,0.53
claude-haiku-4-5-20251001-thinking,FLs-Deauville评分,364,0.6,0.53,0.65,,,,0.6,0.53,0.65,0.52,0.43,0.57
claude-haiku-4-5-20251001-thinking,EM-部位,364,0.81,0.77,0.85,0.84,0.8,0.88,0.81,0.77,0.85,0.81,0.77,0.85
claude-haiku-4-5-20251001-thinking,EM-数量,364,0.49,0.44,0.54,0.73,0.68,0.8,0.49,0.44,0.54,0.58,0.54,0.63
claude-haiku-4-5-20251001-thinking,EM-溶骨性病变数量,364,0.88,0.85,0.92,0.82,0.76,0.87,0.0,0.86,0.92,0.85,0.81,0.89
claude-haiku-4-5-20251001-thinking,EM-Deauville评分,364,0.85,0.8,0.88,0.0,0.74,0.87,0.85,0.8,0.88,0.8,0.75,0.85
claude-haiku-4-5-20251001-thinking,PM-数量,364,0.53,0.49,0.58,0.79,0.74,0.85,0.53,0.49,0.58,0.62,0.58,0.67
claude-haiku-4-5-20251001-thinking,PM-溶骨性病变数量,364,0.81,0.77,0.85,,,,0.81,0.77,0.85,0.78,0.73,0.83
claude-haiku-4-5-20251001-thinking,PM-Deauville评分,364,0.78,0.74,0.82,0.0,0.72,0.8,0.78,0.74,0.82,0.71,0.66,0.77
claude-haiku-4-5-20251001-thinking,骨折-有/无,364,0.91,0.88,0.94,0.95,0.92,0.97,0.91,0.88,0.93,0.93,0.9,0.95
claude-haiku-4-5-20251001-thinking,骨折-部位,364,0.88,0.85,0.91,0.89,0.87,0.92,0.88,0.85,0.91,0.87,0.84,0.91
claude-haiku-4-5-20251001-thinking,骨折-新发/陈旧,364,0.81,0.77,0.85,0.8,0.76,0.85,0.81,0.77,0.85,0.79,0.74,0.84
claude-haiku-4-5-20251001-thinking,骨折-是否MM引起,364,0.88,0.85,0.91,0.88,0.85,0.91,0.88,0.85,0.91,0.88,0.85,0.91
claude-haiku-4-5-20251001-thinking,手术证据-有/无,364,0.94,0.91,0.96,0.97,0.95,0.99,0.94,0.91,0.96,0.96,0.94,0.98
claude-haiku-4-5-20251001-thinking,手术证据-类型,364,0.92,0.9,0.95,0.91,0.88,0.95,0.92,0.9,0.95,0.91,0.88,0.95
gpt-4.1-2025-04-14,PET阳性/阴性,364,0.91,0.89,0.95,0.94,0.93,0.96,0.91,0.89,0.95,0.92,0.9,0.95
gpt-4.1-2025-04-14,骨髓代谢是否增高,364,0.7,0.66,0.75,0.73,0.68,0.79,0.7,0.66,0.75,0.7,0.64,0.75
gpt-4.1-2025-04-14,长骨高代谢,364,0.67,0.61,0.71,0.7,0.64,0.76,0.67,0.61,0.71,0.69,0.63,0.73
gpt-4.1-2025-04-14,骨质破坏,364,0.87,0.83,0.9,0.89,0.86,0.92,,,,0.88,0.84,0.91
gpt-4.1-2025-04-14,FLs-部位,364,0.85,0.81,0.89,0.83,0.77,0.88,0.85,0.81,0.89,0.82,0.76,0.87
gpt-4.1-2025-04-14,FLs-数量,364,0.58,0.53,0.62,0.55,0.49,0.62,0.58,0.53,0.62,0.54,0.48,0.59
gpt-4.1-2025-04-14,FLs-溶骨性病变数量,364,0.49,0.43,0.54,0.52,0.46,0.6,0.49,0.43,0.54,0.45,0.4,0.51
gpt-4.1-2025-04-14,FLs-Deauville评分,364,0.54,0.49,0.59,,,,0.54,0.49,0.59,0.5,0.44,0.56
gpt-4.1-2025-04-14,EM-部位,364,0.71,0.66,0.75,0.82,0.79,0.87,0.71,0.66,0.75,0.74,0.7,0.78
gpt-4.1-2025-04-14,EM-数量,364,0.64,0.6,0.69,0.82,0.77,0.87,0.64,0.59,0.69,0.7,0.66,0.75
gpt-4.1-2025-04-14,EM-溶骨性病变数量,364,0.87,0.84,0.91,0.81,0.76,0.87,,,,0.84,0.8,0.89
gpt-4.1-2025-04-14,EM-Deauville评分,364,0.83,0.79,0.86,0.0,0.75,0.85,0.83,0.79,0.86,0.79,0.74,0.83
gpt-4.1-2025-04-14,PM-数量,364,0.7,0.65,0.73,0.74,0.68,0.79,0.7,0.65,0.73,0.71,0.66,0.75
gpt-4.1-2025-04-14,PM-溶骨性病变数量,364,0.78,0.73,0.82,,,,0.78,0.73,0.82,0.71,0.65,0.77
gpt-4.1-2025-04-14,PM-Deauville评分,364,0.76,0.71,0.8,0.0,0.61,0.68,0.76,0.71,0.8,0.68,0.62,0.74
gpt-4.1-2025-04-14,骨折-有/无,364,0.93,0.9,0.95,0.0,0.9,0.95,0.93,0.9,0.95,0.92,0.9,0.95
gpt-4.1-2025-04-14,骨折-部位,364,0.74,0.7,0.79,0.8,0.78,0.83,0.74,0.7,0.79,0.69,0.64,0.75
gpt-4.1-2025-04-14,骨折-新发/陈旧,364,0.83,0.78,0.87,0.82,0.78,0.87,0.83,0.78,0.87,0.82,0.78,0.86
gpt-4.1-2025-04-14,骨折-是否MM引起,364,0.89,0.86,0.91,0.9,0.88,0.93,0.89,0.86,0.91,0.89,0.86,0.92
gpt-4.1-2025-04-14,手术证据-有/无,364,0.83,0.8,0.87,0.92,0.9,0.94,0.83,0.79,0.86,0.87,0.83,0.9
gpt-4.1-2025-04-14,手术证据-类型,364,0.84,0.8,0.88,0.88,0.84,0.92,0.84,0.8,0.88,0.86,0.82,0.9
o4-mini-2025-04-16-medium,PET阳性/阴性,364,0.95,0.93,0.97,0.95,0.93,0.97,0.95,0.93,0.97,0.95,0.93,0.97
o4-mini-2025-04-16-medium,骨髓代谢是否增高,364,0.84,0.8,0.88,0.86,0.82,0.89,0.84,0.8,0.88,0.84,0.8,0.88
o4-mini-2025-04-16-medium,长骨高代谢,364,0.61,0.57,0.66,0.73,0.69,0.78,0.61,0.57,0.66,0.63,0.58,0.68
o4-mini-2025-04-16-medium,骨质破坏,364,0.94,0.91,0.96,0.95,0.92,0.97,0.0,0.92,0.96,0.94,0.92,0.96
o4-mini-2025-04-16-medium,FLs-部位,364,0.83,0.8,0.87,0.85,0.82,0.89,0.83,0.8,0.87,0.84,0.81,0.87
o4-mini-2025-04-16-medium,FLs-数量,364,0.66,0.61,0.71,0.63,0.55,0.74,0.66,0.61,0.71,0.62,0.57,0.67
o4-mini-2025-04-16-medium,FLs-溶骨性病变数量,364,0.49,0.44,0.54,0.49,0.43,0.54,0.49,0.44,0.54,0.47,0.42,0.52
o4-mini-2025-04-16-medium,FLs-Deauville评分,364,0.57,0.52,0.63,0.58,0.53,0.63,0.57,0.52,0.63,0.56,0.49,0.62
o4-mini-2025-04-16-medium,EM-部位,364,0.83,0.79,0.87,0.85,0.8,0.88,0.83,0.79,0.87,0.84,0.8,0.88
o4-mini-2025-04-16-medium,EM-数量,364,0.65,0.6,0.69,0.8,0.76,0.85,0.65,0.6,0.68,0.71,0.66,0.75
o4-mini-2025-04-16-medium,EM-溶骨性病变数量,364,0.9,0.86,0.93,0.84,0.77,0.89,0.0,0.86,0.92,0.86,0.81,0.9
o4-mini-2025-04-16-medium,EM-Deauville评分,364,0.82,0.78,0.86,0.0,0.77,0.86,0.82,0.78,0.85,0.81,0.77,0.85
o4-mini-2025-04-16-medium,PM-数量,364,0.65,0.6,0.69,0.84,0.79,0.88,0.65,0.6,0.69,0.72,0.67,0.76
o4-mini-2025-04-16-medium,PM-溶骨性病变数量,364,0.78,0.74,0.81,,,,0.78,0.74,0.81,0.73,0.68,0.78
o4-mini-2025-04-16-medium,PM-Deauville评分,364,0.79,0.75,0.83,0.0,0.77,0.77,0.79,0.75,0.83,0.76,0.71,0.81
o4-mini-2025-04-16-medium,骨折-有/无,364,0.95,0.92,0.96,0.95,0.93,0.97,0.95,0.92,0.96,0.95,0.92,0.97
o4-mini-2025-04-16-medium,骨折-部位,364,0.87,0.83,0.9,0.87,0.83,0.9,0.87,0.83,0.9,0.86,0.82,0.89
o4-mini-2025-04-16-medium,骨折-新发/陈旧,364,0.86,0.83,0.89,0.86,0.83,0.9,0.86,0.83,0.89,0.86,0.83,0.89
o4-mini-2025-04-16-medium,骨折-是否MM引起,364,0.9,0.87,0.93,0.9,0.87,0.93,0.9,0.87,0.93,0.9,0.87,0.93
o4-mini-2025-04-16-medium,手术证据-有/无,364,0.97,0.95,0.98,0.97,0.95,0.99,0.97,0.95,0.98,0.97,0.95,0.98
o4-mini-2025-04-16-medium,手术证据-类型,364,0.91,0.88,0.93,0.9,0.86,0.93,0.91,0.88,0.93,0.9,0.86,0.93
gemini-2.5-flash-nothinking,PET阳性/阴性,364,0.96,0.93,0.98,0.96,0.94,0.98,0.96,0.93,0.98,0.95,0.93,0.98
gemini-2.5-flash-nothinking,骨髓代谢是否增高,364,0.8,0.76,0.84,0.82,0.78,0.86,0.8,0.76,0.84,0.78,0.73,0.83
gemini-2.5-flash-nothinking,长骨高代谢,364,0.81,0.77,0.86,0.78,0.74,0.84,0.81,0.77,0.86,0.79,0.75,0.84
gemini-2.5-flash-nothinking,骨质破坏,364,0.96,0.93,0.98,0.96,0.93,0.98,0.96,0.93,0.98,0.95,0.93,0.97
gemini-2.5-flash-nothinking,FLs-部位,364,0.86,0.82,0.9,0.86,0.82,0.9,0.86,0.82,0.9,0.86,0.82,0.89
gemini-2.5-flash-nothinking,FLs-数量,364,0.71,0.66,0.75,0.62,0.56,0.68,0.71,0.66,0.75,0.66,0.61,0.71
gemini-2.5-flash-nothinking,FLs-溶骨性病变数量,364,0.5,0.46,0.55,0.49,0.45,0.55,0.5,0.46,0.55,0.49,0.45,0.54
gemini-2.5-flash-nothinking,FLs-Deauville评分,364,0.61,0.56,0.66,,,,0.61,0.56,0.66,0.54,0.48,0.6
gemini-2.5-flash-nothinking,EM-部位,364,0.71,0.67,0.76,0.82,0.78,0.85,0.71,0.67,0.76,0.74,0.7,0.78
gemini-2.5-flash-nothinking,EM-数量,364,0.66,0.62,0.71,0.77,0.72,0.83,0.66,0.62,0.71,0.71,0.67,0.75
gemini-2.5-flash-nothinking,EM-溶骨性病变数量,364,0.9,0.87,0.93,0.82,0.76,0.87,0.9,0.87,0.93,0.86,0.81,0.9
gemini-2.5-flash-nothinking,EM-Deauville评分,364,0.81,0.77,0.85,0.0,0.73,0.82,0.81,0.77,0.85,0.79,0.74,0.83
gemini-2.5-flash-nothinking,PM-数量,364,0.76,0.71,0.8,0.81,0.77,0.86,0.76,0.71,0.8,0.78,0.74,0.82
gemini-2.5-flash-nothinking,PM-溶骨性病变数量,364,0.8,0.76,0.84,,,,0.8,0.76,0.84,0.74,0.68,0.79
gemini-2.5-flash-nothinking,PM-Deauville评分,364,0.8,0.76,0.84,0.0,0.81,0.83,0.8,0.76,0.84,0.75,0.71,0.8
gemini-2.5-flash-nothinking,骨折-有/无,364,0.96,0.94,0.98,0.0,0.95,0.98,0.96,0.94,0.98,0.96,0.94,0.98
gemini-2.5-flash-nothinking,骨折-部位,364,0.92,0.9,0.95,0.92,0.9,0.95,0.92,0.9,0.95,0.92,0.9,0.95
gemini-2.5-flash-nothinking,骨折-新发/陈旧,364,0.77,0.72,0.81,0.75,0.68,0.81,0.77,0.72,0.81,0.72,0.66,0.77
gemini-2.5-flash-nothinking,骨折-是否MM引起,364,0.87,0.84,0.91,0.87,0.84,0.91,0.87,0.84,0.91,0.86,0.82,0.9
gemini-2.5-flash-nothinking,手术证据-有/无,364,0.97,0.96,0.99,0.0,0.97,0.99,0.97,0.96,0.99,0.97,0.95,0.99
gemini-2.5-flash-nothinking,手术证据-类型,364,0.91,0.88,0.94,0.0,0.91,0.94,0.91,0.88,0.94,0.9,0.87,0.94
gemini-2.5-flash-thinking,PET阳性/阴性,364,0.96,0.94,0.98,0.96,0.94,0.98,0.96,0.94,0.98,0.95,0.93,0.98
gemini-2.5-flash-thinking,骨髓代谢是否增高,364,0.79,0.76,0.84,0.82,0.78,0.86,0.79,0.76,0.84,0.77,0.72,0.82
gemini-2.5-flash-thinking,长骨高代谢,364,0.82,0.77,0.85,0.79,0.74,0.84,0.82,0.77,0.85,0.79,0.75,0.84
gemini-2.5-flash-thinking,骨质破坏,364,0.94,0.92,0.96,0.94,0.92,0.96,0.94,0.92,0.96,0.94,0.91,0.96
gemini-2.5-flash-thinking,FLs-部位,364,0.88,0.84,0.91,0.87,0.84,0.91,0.88,0.84,0.91,0.87,0.84,0.91
gemini-2.5-flash-thinking,FLs-数量,364,0.71,0.66,0.76,0.7,0.59,0.8,0.71,0.66,0.76,0.67,0.61,0.72
gemini-2.5-flash-thinking,FLs-溶骨性病变数量,364,0.51,0.46,0.55,0.49,0.44,0.54,0.51,0.46,0.55,0.49,0.44,0.54
gemini-2.5-flash-thinking,FLs-Deauville评分,364,0.6,0.55,0.65,0.57,0.51,0.63,0.6,0.55,0.65,0.55,0.49,0.61
gemini-2.5-flash-thinking,EM-部位,364,0.74,0.7,0.79,0.83,0.8,0.86,0.74,0.7,0.79,0.77,0.73,0.8
gemini-2.5-flash-thinking,EM-数量,364,0.66,0.62,0.71,0.76,0.71,0.81,0.66,0.61,0.71,0.7,0.65,0.74
gemini-2.5-flash-thinking,EM-溶骨性病变数量,364,0.9,0.87,0.93,,,,0.9,0.87,0.93,0.86,0.81,0.9
gemini-2.5-flash-thinking,EM-Deauville评分,364,0.83,0.79,0.86,0.0,0.75,0.84,0.83,0.79,0.86,0.8,0.76,0.84
gemini-2.5-flash-thinking,PM-数量,364,0.74,0.7,0.79,0.82,0.79,0.86,0.74,0.71,0.79,0.77,0.73,0.82
gemini-2.5-flash-thinking,PM-溶骨性病变数量,364,0.8,0.77,0.85,0.76,0.71,0.81,0.8,0.77,0.85,0.76,0.71,0.81
gemini-2.5-flash-thinking,PM-Deauville评分,364,0.79,0.76,0.84,0.0,0.79,0.82,0.79,0.76,0.84,0.75,0.7,0.8
gemini-2.5-flash-thinking,骨折-有/无,364,0.96,0.94,0.98,0.96,0.94,0.98,0.96,0.94,0.98,0.96,0.94,0.98
gemini-2.5-flash-thinking,骨折-部位,364,0.92,0.89,0.95,0.92,0.89,0.95,0.92,0.89,0.95,0.92,0.88,0.95
gemini-2.5-flash-thinking,骨折-新发/陈旧,364,0.77,0.73,0.82,0.73,0.61,0.83,0.77,0.73,0.82,0.71,0.65,0.76
gemini-2.5-flash-thinking,骨折-是否MM引起,364,0.87,0.84,0.9,0.87,0.83,0.9,0.87,0.84,0.9,0.86,0.82,0.9
gemini-2.5-flash-thinking,手术证据-有/无,364,0.98,0.96,0.99,0.97,0.95,0.99,0.98,0.96,0.99,0.97,0.96,0.99
gemini-2.5-flash-thinking,手术证据-类型,364,0.93,0.9,0.95,0.0,0.93,0.96,0.93,0.9,0.95,0.92,0.89,0.95
Qwen3-4B-Instruct-2507,PET阳性/阴性,364,0.93,0.9,0.96,0.93,0.9,0.96,0.93,0.9,0.96,0.93,0.9,0.96
Qwen3-4B-Instruct-2507,骨髓代谢是否增高,364,0.72,0.68,0.76,0.0,0.78,0.78,0.72,0.68,0.76,0.65,0.59,0.71
Qwen3-4B-Instruct-2507,长骨高代谢,364,0.76,0.71,0.8,0.77,0.72,0.81,0.76,0.71,0.8,0.7,0.64,0.76
Qwen3-4B-Instruct-2507,骨质破坏,364,0.89,0.86,0.92,0.89,0.86,0.93,0.89,0.86,0.92,0.89,0.86,0.92
Qwen3-4B-Instruct-2507,FLs-部位,364,0.82,0.78,0.86,0.0,0.84,0.87,0.82,0.78,0.86,0.8,0.76,0.85
Qwen3-4B-Instruct-2507,FLs-数量,364,0.55,0.5,0.6,,,,0.55,0.5,0.6,0.47,0.41,0.52
Qwen3-4B-Instruct-2507,FLs-溶骨性病变数量,364,0.39,0.34,0.44,,,,0.39,0.34,0.44,0.3,0.25,0.35
Qwen3-4B-Instruct-2507,FLs-Deauville评分,364,0.6,0.54,0.65,,,,0.6,0.54,0.65,0.45,0.38,0.51
Qwen3-4B-Instruct-2507,EM-部位,364,0.27,0.23,0.31,0.78,0.73,0.83,0.27,0.23,0.31,0.36,0.31,0.4
Qwen3-4B-Instruct-2507,EM-数量,364,0.44,0.39,0.49,0.0,0.66,0.76,0.44,0.39,0.49,0.52,0.46,0.57
Qwen3-4B-Instruct-2507,EM-溶骨性病变数量,364,0.88,0.85,0.92,0.81,0.76,0.87,0.88,0.85,0.92,0.85,0.8,0.89
Qwen3-4B-Instruct-2507,EM-Deauville评分,364,0.85,0.82,0.88,,,,0.85,0.81,0.88,0.78,0.73,0.83
Qwen3-4B-Instruct-2507,PM-数量,364,0.69,0.64,0.73,0.71,0.64,0.75,0.69,0.64,0.73,0.7,0.65,0.73
Qwen3-4B-Instruct-2507,PM-溶骨性病变数量,364,0.79,0.74,0.84,,,,0.79,0.74,0.84,0.73,0.67,0.79
Qwen3-4B-Instruct-2507,PM-Deauville评分,364,0.76,0.72,0.81,,,,0.76,0.72,0.81,0.66,0.61,0.72
